
46,1659045176613
54,1659063965377
45,1659063979203
104,1659064032757
28,1659331391810
28,1659332852047
92,1659332887420
44,1659333056138
72,1659333611200
27,1659333629998
110,1659335430156
56,1659335804230
60,1659335894523
39,1659502086757
45,1659502122324
47,1659502206062
56,1659502295054
24,1659502490616
46,1659587152055
51,1659587262935
33,1659651217491
29,1659658225318
25,1659658439542
53,1659718402417
30,1659720324326
32,1661481074043
30,1661531331746
33,1661532138476
26,1661535805602
29,1661738906980
48,1661738923374
32,1661739034797
32,1661739102224
40,1661739134545
41,1661742511542
50,1661742527675
27,1661742574475
30,1661904588708
35,1661906587791
76,1661906896929
26,1661907370281
35,1661907558949
26,1661907651043
29,1661907677376
36,1661907695776
157,1661907958707
70,1661909991833
27,1661994837903
21,1661994881036
113,1661998895145
20,1661999487269
30,1661999530536
